id,source_object,target_object,source_row_count,target_row_count,load_status,severity,phase,error_message,created_at
7981,CRVM_B,S_CRFH,508,436,failed,info,33.0,,2026-01-21 15:29:04
7982,MAKT,S_MAKT,161841,113711,failed,info,33.0,,2026-01-21 15:29:04
7983,MARA,S_MARA,14541,12335,failed,info,33.0,,2026-01-21 15:29:04
7984,MARC,S_MARC,21869,18913,failed,info,33.0,,2026-01-21 15:29:04
7985,MARD,S_MARD,19107,16705,failed,info,33.0,,2026-01-21 15:29:04
7986,MARM,S_MARM,15918,13592,failed,info,33.0,,2026-01-21 15:29:04
7988,MEAN,S_MEAN,267,175,failed,info,33.0,,2026-01-21 15:29:04
7989,MLAN,S_MLAN,19082,16700,failed,critical,33.0,,2026-01-21 15:29:04
7990,MLGN,S_MLGN,2343,1692,failed,info,33.0,,2026-01-21 15:29:04
7994,MVKE,S_MVKE,10028,8783,failed,info,33.0,,2026-01-21 15:29:04
7995,CRVM_B,S_CRFH,508,436,failed,info,33.0,,2026-01-21 15:29:04
7996,MAKT,S_MAKT,161841,113711,failed,info,33.0,,2026-01-21 15:29:04
7998,MARC,S_MARC,21869,18913,failed,info,33.0,,2026-01-21 15:29:04
7999,MARD,S_MARD,19107,16705,failed,info,33.0,,2026-01-21 15:29:04
8000,MARM,S_MARM,15918,13592,failed,info,33.0,,2026-01-21 15:29:04
8002,MEAN,S_MEAN,267,175,failed,info,33.0,,2026-01-21 15:29:04
8003,MLAN,S_MLAN,19082,16700,failed,critical,33.0,,2026-01-21 15:29:04
8004,MLGN,S_MLGN,2343,1692,failed,info,33.0,,2026-01-21 15:29:04
8008,MVKE,S_MVKE,10028,8783,failed,info,33.0,,2026-01-21 15:29:04
8009,EINE,S_COND,3889,1952,failed,info,4.0,,2026-01-21 15:29:04
8010,EINA,S_EINA,3664,2483,failed,info,4.0,,2026-01-21 15:29:04
8011,EINA,S_EINA_TEXT,3664,6,failed,info,4.0,,2026-01-21 15:29:04
8012,EINE,S_EINE,3889,2628,failed,info,4.0,,2026-01-21 15:29:04
8023,VBAK,S_VBAK,8071,296,failed,info,2.0,,2026-01-21 15:29:04
8034,LFA1,S_ROLES,1833,41,failed,info,46.0,,2026-01-21 15:29:04
8036,LFA1,S_SUPPL_ADDR,1833,24,failed,info,46.0,,2026-01-21 15:29:04
8037,LFB1,S_SUPPL_COMPANY,1979,33,failed,info,46.0,,2026-01-21 15:29:04
8039,LFA1,S_SUPPL_GEN,1833,24,failed,info,46.0,,2026-01-21 15:29:04
8040,LFA1,S_SUPPL_IDENT,1833,24,failed,info,46.0,,2026-01-21 15:29:04
8041,LFA1,S_SUPPL_INDUSTRY,1833,24,failed,critical,46.0,,2026-01-21 15:29:04
8042,WYT3,S_SUPPL_PARTNER,1121,33,failed,info,46.0,,2026-01-21 15:29:04
8043,LFM1,S_SUPPL_PURCHASING,1609,32,failed,info,46.0,,2026-01-21 15:29:04
8044,LFA1,S_SUPPL_TAXNUMBERS,1833,6,failed,info,46.0,,2026-01-21 15:29:04
8049,LFA1,S_ROLES,1833,2579,failed,info,46.0,,2026-01-21 15:29:04
8050,LFBK,S_SUPP_BANK,1120,7,failed,info,46.0,,2026-01-21 15:29:04
8055,VENDOR,S_SUPPL_GEN,68,68,failed,critical,3.0,,2026-01-21 15:29:04
8056,AP_AP_SUPPLIERS,S_SUPPL_GEN,357,217,failed,critical,3.0,,2026-01-21 15:29:04
8057,LFA1,S_SUPPL_IDENT,1833,1412,failed,info,46.0,,2026-01-21 15:29:04
